,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,H_GS_H,H_GS_A,H_GR_H,H_GR_A,H_TGS,H_TGR,H_AvGS_H,H_AvGS_A,H_AvGR_H,H_AvGR_A,H_Av_TGS,H_Av_TGR,H_Pnt_H,H_Pnt_A,H_Av_Pnt_H,H_Av_pnt_A,H_T_pnt,H_Av_T_pnt,Aw_GS_H,Aw_GS_A,Aw_GR_H,Aw_GR_A,Aw_TGS,Aw_TGR,Aw_AvGS_H,Aw_AvGS_A,Aw_AvGR_H,Aw_AvGR_A,Aw_Av_TGS,Aw_Av_TGR,Aw_Pnt_H,Aw_Pnt_A,Aw_Av_Pnt_H,Aw_Av_pnt_A,Aw_T_pnt,Aw_Av_T_pnt
202,14/01/17,Leicester,Chelsea,0,3,A,0,1,A,A Marriner,16.0,8.0,10.0,21.0,1.6,0.8,1.0,2.1,18.0,3.0,1.8,0.3,24.0,31.0,1.2,1.55,21.0,1.05,28.0,14.0,6.0,9.0,2.8,1.4,0.6,0.9,27.0,22.0,2.7,2.2,42.0,15.0,2.1,0.75,49.0,2.45
203,14/01/17,Sunderland,Stoke,1,3,A,1,3,A,M Dean,13.0,6.0,17.0,20.0,1.3,0.6,1.7,2.0,11.0,4.0,1.1,0.4,19.0,37.0,0.95,1.85,15.0,0.75,13.0,11.0,13.0,19.0,1.3,1.1,1.3,1.9,15.0,9.0,1.5,0.9,24.0,32.0,1.2,1.6,24.0,1.2
204,14/01/17,Swansea,Arsenal,0,4,A,0,1,A,M Jones,14.0,9.0,23.0,22.0,1.4,0.9,2.3,2.2,8.0,7.0,0.8,0.7,23.0,45.0,1.15,2.25,15.0,0.75,21.0,23.0,10.0,12.0,2.1,2.3,1.0,1.2,23.0,18.0,2.3,1.8,44.0,22.0,2.2,1.1,41.0,2.05
205,14/01/17,Tottenham,West Brom,4,0,H,2,0,H,A Taylor,21.0,18.0,5.0,9.0,2.1,1.8,0.5,0.9,26.0,16.0,2.6,1.6,39.0,14.0,1.95,0.7,42.0,2.1,19.0,9.0,14.0,10.0,1.9,0.9,1.4,1.0,17.0,12.0,1.7,1.2,28.0,24.0,1.4,1.2,29.0,1.45
206,14/01/17,Watford,Middlesbrough,0,0,D,0,0,D,J Moss,15.0,8.0,17.0,19.0,1.5,0.8,1.7,1.9,14.0,8.0,1.4,0.8,23.0,36.0,1.15,1.8,22.0,1.1,9.0,8.0,10.0,12.0,0.9,0.8,1.0,1.2,11.0,8.0,1.1,0.8,17.0,22.0,0.85,1.1,19.0,0.95
207,14/01/17,West Ham,Crystal Palace,3,0,H,0,0,D,N Swarbrick,9.0,14.0,16.0,19.0,0.9,1.4,1.6,1.9,14.0,8.0,1.4,0.8,23.0,35.0,1.15,1.75,22.0,1.1,13.0,17.0,15.0,22.0,1.3,1.7,1.5,2.2,7.0,9.0,0.7,0.9,30.0,37.0,1.5,1.85,16.0,0.8
208,15/01/17,Everton,Man City,4,0,H,1,0,H,M Clattenburg,15.0,13.0,7.0,16.0,1.5,1.3,0.7,1.6,19.0,11.0,1.9,1.1,28.0,23.0,1.4,1.15,30.0,1.5,19.0,22.0,10.0,12.0,1.9,2.2,1.0,1.2,21.0,21.0,2.1,2.1,41.0,22.0,2.05,1.1,42.0,2.1
209,15/01/17,Man United,Liverpool,1,1,D,0,1,A,M Oliver,16.0,15.0,8.0,11.0,1.6,1.5,0.8,1.1,19.0,20.0,1.9,2.0,31.0,19.0,1.55,0.95,39.0,1.95,26.0,22.0,7.0,16.0,2.88888888889,2.0,0.777777777778,1.45454545455,23.0,21.0,2.55555555556,1.90909090909,48.0,23.0,2.4,1.15,44.0,2.2
210,21/01/17,Bournemouth,Watford,2,2,D,0,1,A,L Mason,19.0,11.0,15.0,22.0,1.9,1.0,1.5,2.0,17.0,8.0,1.7,0.727272727273,30.0,37.0,1.42857142857,1.7619047619,25.0,1.19047619048,15.0,8.0,17.0,19.0,1.36363636364,0.8,1.54545454545,1.9,15.0,8.0,1.36363636364,0.8,23.0,36.0,1.09523809524,1.71428571429,23.0,1.09523809524
211,21/01/17,Crystal Palace,Everton,0,1,A,0,0,D,A Taylor,13.0,17.0,15.0,25.0,1.3,1.54545454545,1.5,2.27272727273,7.0,9.0,0.7,0.818181818182,30.0,40.0,1.42857142857,1.90476190476,16.0,0.761904761905,19.0,13.0,7.0,16.0,1.72727272727,1.3,0.636363636364,1.6,22.0,11.0,2.0,1.1,32.0,23.0,1.52380952381,1.09523809524,33.0,1.57142857143
212,21/01/17,Liverpool,Swansea,2,3,A,0,0,D,K Friend,26.0,23.0,7.0,17.0,2.88888888889,1.91666666667,0.777777777778,1.41666666667,23.0,22.0,2.55555555556,1.83333333333,49.0,24.0,2.33333333333,1.14285714286,45.0,2.14285714286,14.0,9.0,27.0,22.0,1.27272727273,0.9,2.45454545455,2.2,8.0,7.0,0.727272727273,0.7,23.0,49.0,1.09523809524,2.33333333333,15.0,0.714285714286
213,21/01/17,Man City,Tottenham,2,2,D,0,0,D,A Marriner,19.0,22.0,10.0,16.0,1.9,2.0,1.0,1.45454545455,21.0,21.0,2.1,1.90909090909,41.0,26.0,1.95238095238,1.2380952381,42.0,2.0,25.0,18.0,5.0,9.0,2.27272727273,1.8,0.454545454545,0.9,29.0,16.0,2.63636363636,1.6,43.0,14.0,2.04761904762,0.666666666667,45.0,2.14285714286
214,21/01/17,Middlesbrough,West Ham,1,3,A,1,2,A,M Atkinson,9.0,8.0,10.0,12.0,0.9,0.727272727273,1.0,1.09090909091,11.0,9.0,1.1,0.818181818182,17.0,22.0,0.809523809524,1.04761904762,20.0,0.952380952381,12.0,14.0,16.0,19.0,1.09090909091,1.4,1.45454545455,1.9,17.0,8.0,1.54545454545,0.8,26.0,35.0,1.2380952381,1.66666666667,25.0,1.19047619048
215,21/01/17,Stoke,Man United,1,1,D,1,0,H,M Clattenburg,13.0,14.0,13.0,20.0,1.3,1.27272727273,1.3,1.81818181818,15.0,12.0,1.5,1.09090909091,27.0,33.0,1.28571428571,1.57142857143,27.0,1.28571428571,17.0,15.0,9.0,11.0,1.54545454545,1.5,0.818181818182,1.1,20.0,20.0,1.81818181818,2.0,32.0,20.0,1.52380952381,0.952380952381,40.0,1.90476190476
216,21/01/17,West Brom,Sunderland,2,0,H,2,0,H,C Pawson,19.0,9.0,14.0,14.0,1.9,0.818181818182,1.4,1.27272727273,17.0,12.0,1.7,1.09090909091,28.0,28.0,1.33333333333,1.33333333333,29.0,1.38095238095,14.0,6.0,20.0,20.0,1.27272727273,0.6,1.81818181818,2.0,11.0,4.0,1.0,0.4,20.0,40.0,0.952380952381,1.90476190476,15.0,0.714285714286
217,22/01/17,Arsenal,Burnley,2,1,H,0,0,D,J Moss,21.0,27.0,10.0,12.0,2.1,2.45454545455,1.0,1.09090909091,23.0,21.0,2.3,1.90909090909,48.0,22.0,2.28571428571,1.04761904762,44.0,2.09523809524,20.0,3.0,11.0,20.0,1.66666666667,0.333333333333,0.916666666667,2.22222222222,25.0,1.0,2.08333333333,0.111111111111,23.0,31.0,1.09523809524,1.47619047619,26.0,1.2380952381
218,22/01/17,Chelsea,Hull,2,0,H,1,0,H,N Swarbrick,28.0,17.0,6.0,9.0,2.8,1.54545454545,0.6,0.818181818182,27.0,25.0,2.7,2.27272727273,45.0,15.0,2.14285714286,0.714285714286,52.0,2.47619047619,14.0,6.0,21.0,24.0,1.27272727273,0.6,1.90909090909,2.4,12.0,4.0,1.09090909091,0.4,20.0,45.0,0.952380952381,2.14285714286,16.0,0.761904761905
219,22/01/17,Southampton,Leicester,3,0,H,2,0,H,M Oliver,10.0,9.0,11.0,15.0,1.0,0.818181818182,1.1,1.36363636364,15.0,9.0,1.5,0.818181818182,19.0,26.0,0.904761904762,1.2380952381,24.0,1.14285714286,16.0,8.0,13.0,21.0,1.45454545455,0.8,1.18181818182,2.1,18.0,3.0,1.63636363636,0.3,24.0,34.0,1.14285714286,1.61904761905,21.0,1.0
220,31/01/17,Arsenal,Watford,1,2,A,0,2,A,A Marriner,23.0,27.0,11.0,12.0,2.09090909091,2.45454545455,1.0,1.09090909091,26.0,21.0,2.36363636364,1.90909090909,50.0,23.0,2.27272727273,1.04545454545,47.0,2.13636363636,15.0,10.0,17.0,21.0,1.36363636364,0.909090909091,1.54545454545,1.90909090909,15.0,9.0,1.36363636364,0.818181818182,25.0,38.0,1.13636363636,1.72727272727,24.0,1.09090909091
